date,drawdown
2022-06-03,-0.08371222997973563
2022-06-06,-0.08549581996734729
2022-06-07,-0.09036828589946588
2022-06-08,-0.09182945138609717
2022-06-09,-0.09119772908137731
2022-06-10,-0.09457703320233986
2022-06-13,-0.11232925038354567
2022-06-14,-0.11587181780144225
2022-06-15,-0.1143015366439957
2022-06-16,-0.1317017942554291
2022-06-17,-0.13945392939477724
2022-06-20,-0.1532878274495648
2022-06-21,-0.13962621729606448
2022-06-22,-0.14453478164559555
2022-06-23,-0.13378073493096176
2022-06-24,-0.12573735119658044
2022-06-27,-0.11605641198139292
2022-06-28,-0.11521384210224059
2022-06-29,-0.11780554438874716
2022-06-30,-0.11932413917580745
2022-07-01,-0.12009205096440206
2022-07-04,-0.11324237626036802
2022-07-05,-0.1065485810860701
2022-07-06,-0.10202643388656885
2022-07-07,-0.09675278327002433
2022-07-08,-0.0949101231448285
2022-07-11,-0.08627111552313982
2022-07-12,-0.09325944096678125
2022-07-13,-0.09189836654661203
2022-07-14,-0.09300839288204837
2022-07-15,-0.08770520719671171
2022-07-18,-0.08168743693032186
2022-07-19,-0.07453010525970352
2022-07-20,-0.07303530261139228
2022-07-21,-0.06956821370263101
2022-07-22,-0.06398444486376943
2022-07-25,-0.06205564078792992
2022-07-26,-0.0652454282174765
2022-07-27,-0.06288672480699652
2022-07-28,-0.05306303275931378
2022-07-29,-0.04974033752020277
2022-08-01,-0.02839058487640391
2022-08-02,-0.018197704468819933
2022-08-03,-0.020690136107442036
2022-08-04,-0.01931183289714409
2022-08-05,-0.019598979399289458
2022-08-08,-0.00850035688208116
2022-08-10,-0.0008163164846704127
2022-08-11,0.0
2022-08-12,0.0
2022-08-16,0.0
2022-08-17,0.0
2022-08-18,0.0
2022-08-19,-0.009803164989346339
2022-08-22,-0.015789204333603236
2022-08-23,-0.007841394733357642
2022-08-24,-0.0015434217334900399
2022-08-25,0.0
2022-08-26,0.0
2022-08-29,-0.003351227031074872
2022-08-30,0.0
2022-09-01,0.0
2022-09-02,0.0
2022-09-05,0.0
2022-09-06,0.0
2022-09-07,0.0
2022-09-08,0.0
2022-09-09,0.0
2022-09-12,0.0
2022-09-13,-0.0020773803220966855
2022-09-14,0.0
2022-09-15,-0.005039901756893969
2022-09-16,-0.02667163458431073
2022-09-19,-0.02808825150843479
2022-09-20,-0.019863052760045786
2022-09-21,-0.021956421730584378
2022-09-22,-0.022085688975405103
2022-09-23,-0.034547811771683666
2022-09-26,-0.05829800662304537
2022-09-27,-0.052238414423182944
2022-09-28,-0.05382535995224722
2022-09-29,-0.04796727257519372
2022-09-30,-0.036286836412301744
2022-10-03,-0.033270347234631556
2022-10-04,-0.02484136247676057
2022-10-06,-0.01996874774257575
2022-10-07,-0.016132552153630325
2022-10-10,-0.024504507244668676
2022-10-11,-0.030113184878774048
2022-10-12,-0.028125510890765416
2022-10-13,-0.03366499252911366
2022-10-14,-0.031734348207937774
2022-10-17,-0.030544329160029096
2022-10-18,-0.02605039141361346
2022-10-19,-0.021637815991879118
2022-10-20,-0.021250014257416728
2022-10-21,-0.02908893206245893
2022-10-25,-0.02559643526562533
2022-10-27,-0.022327494762775724
2022-10-28,-0.027838081369928647
2022-10-31,-0.029422745712319648
2022-11-01,-0.02775595864968966
2022-11-02,-0.023220199147596734
2022-11-03,-0.02338976735697905
2022-11-04,-0.02201725337520577
2022-11-07,-0.019163488846898283
2022-11-09,-0.023325133734568685
2022-11-10,-0.028807585706084403
2022-11-11,-0.028617486816642074
2022-11-14,-0.030547370742260167
2022-11-15,-0.0312347683264835
2022-11-16,-0.025830637097418226
2022-11-17,-0.02612795176050589
2022-11-18,-0.03123933069983016
2022-11-21,-0.029328456663156276
2022-11-22,-0.0310515129970611
2022-11-23,-0.028599997718813344
2022-11-24,-0.024741750658692746
2022-11-25,-0.022464365963174176
2022-11-28,-0.01896350481520484
2022-11-29,-0.02255713422122185
2022-11-30,-0.01521399431984517
2022-12-01,-0.00938860395177574
2022-12-02,-0.00627326335159563
2022-12-05,-0.003571577934841836
2022-12-06,-0.004424741750658835
2022-12-07,-0.006783488770858595
2022-12-08,-0.001381638728466597
2022-12-09,-0.006997159922591687
2022-12-12,-0.0067287402906993435
2022-12-13,-0.0032856692051206533
2022-12-14,0.0
2022-12-15,-0.00784877620457124
2022-12-16,-0.015955137728597458
2022-12-19,-0.015704370844069244
2022-12-20,-0.012983057704414915
2022-12-21,-0.029082140170354938
2022-12-22,-0.04567442276266319
2022-12-23,-0.07136628556666119
2022-12-26,-0.050685214829944474
2022-12-27,-0.0429947778364501
2022-12-28,-0.040533322827892855
2022-12-29,-0.037683217028510935
2022-12-30,-0.035306613654597835
2023-01-02,-0.03147616843352522
2023-01-03,-0.032504994503583906
2023-01-04,-0.039914360457320025
2023-01-05,-0.039868146620594354
2023-01-06,-0.047551765179161966
2023-01-09,-0.04203868173894336
2023-01-10,-0.046931287600827695
2023-01-11,-0.04611610582514052
2023-01-12,-0.043931176233057215
2023-01-13,-0.044973639172969315
2023-01-16,-0.045546387706816474
2023-01-17,-0.046878255329175146
2023-01-18,-0.0475510075752813
2023-01-19,-0.048879087178236205
2023-01-20,-0.05447247662981429
2023-01-23,-0.057351371376664816
2023-01-24,-0.05956508991621662
2023-01-25,-0.062448530286351576
2023-01-27,-0.07044882726707281
2023-01-30,-0.07297089058609003
2023-01-31,-0.058193826892058924
2023-02-01,-0.06452284971184546
2023-02-02,-0.0605083067477505
2023-02-03,-0.0583688333885122
2023-02-06,-0.06063103857643211
2023-02-07,-0.05740288844055581
2023-02-08,-0.05214890552755374
2023-02-09,-0.0549808288337977
2023-02-10,-0.05170570725731496
2023-02-13,-0.057498346529530266
2023-02-14,-0.05987722271508569
2023-02-15,-0.05715742478319281
2023-02-16,-0.053211823772246127
2023-02-17,-0.05214739031979219
2023-02-20,-0.053136063384171185
